user_id,course_id,interaction,score
0,3281,1,0.4813
0,2505,1,0.5037
0,689,1,0.5124
0,2704,1,0.4829
0,2642,1,0.4853
0,1442,1,0.4813
0,3185,1,0.5452
0,2811,1,0.4854
0,654,1,0.4813
0,77,1,0.5204
0,2946,1,0.4813
0,1152,1,0.5829
0,3203,1,0.4869
0,741,1,0.5413
0,2653,1,0.1
0,1822,1,0.1
0,3328,1,0.1
0,528,1,0.1
1,128,1,0.5269
1,1416,1,0.5437
1,534,1,0.5484
1,1127,1,0.5229
1,2494,1,0.5138
1,1523,1,0.5397
1,724,1,0.5229
1,2922,1,0.5263
1,1636,1,0.5229
1,417,1,0.5644
1,2150,1,0.5318
1,432,1,0.5119
1,1756,1,0.1
1,711,1,0.1
1,1456,1,0.1
1,884,1,0.1
2,2449,1,0.5102
2,1911,1,0.5022
2,2519,1,0.5062
2,714,1,0.5146
2,346,1,0.5226
2,630,1,0.5028
2,3039,1,0.5028
2,1197,1,0.5106
2,1714,1,0.5081
2,1085,1,0.5049
2,186,1,0.5062
2,2671,1,0.5022
2,3324,1,0.5022
2,1970,1,0.1
2,250,1,0.1
2,361,1,0.1
2,1150,1,0.1
3,1138,1,0.5166
3,700,1,0.5142
3,3065,1,0.5188
3,2037,1,0.5116
3,3339,1,0.5102
3,1270,1,0.5123
3,2085,1,0.5182
3,1772,1,0.5097
3,2952,1,0.5123
3,2676,1,0.5661
3,30,1,0.5142
3,1987,1,0.5148
3,2608,1,0.5137
3,2591,1,0.5104
3,347,1,0.5116
3,2577,1,0.5102
3,2325,1,0.1
3,2065,1,0.1
3,1322,1,0.1
3,1595,1,0.1
3,1110,1,0.1
4,897,1,0.4362
4,842,1,0.4088
4,1217,1,0.405
4,2345,1,0.4133
4,3210,1,0.405
4,2778,1,0.4133
4,482,1,0.4229
4,515,1,0.4053
4,1181,1,0.4053
4,1207,1,0.4088
4,2229,1,0.405
4,1271,1,0.4173
4,2863,1,0.405
4,1019,1,0.1
4,2700,1,0.1
4,991,1,0.1
4,1095,1,0.1
5,1722,1,0.5548
5,566,1,0.5449
5,2935,1,0.5369
5,906,1,0.5369
5,2377,1,0.547
5,593,1,0.5508
5,111,1,0.547
5,1190,1,0.5414
5,1260,1,0.547
5,3186,1,0.5369
5,2546,1,0.5369
5,360,1,0.531
5,1506,1,0.5329
5,2775,1,0.5331
5,128,1,0.5787
5,146,1,0.5331
5,32,1,0.5294
5,1612,1,0.5414
5,588,1,0.1
5,2319,1,0.1
5,778,1,0.1
5,3337,1,0.1
5,2029,1,0.1
6,2546,1,0.5256
6,2426,1,0.5298
6,168,1,0.5178
6,2223,1,0.5357
6,1615,1,0.5336
6,2461,1,0.5516
6,696,1,0.5302
6,3292,1,0.5176
6,2969,1,0.5216
6,667,1,0.5713
6,2823,1,0.5262
6,822,1,0.5262
6,1427,1,0.5218
6,547,1,0.5298
6,2938,1,0.5218
6,3047,1,0.5307
6,878,1,0.5342
6,1858,1,0.5226
6,2951,1,0.1
6,730,1,0.1
6,3304,1,0.1
6,1331,1,0.1
6,244,1,0.1
7,2066,1,0.5386
7,1380,1,0.5116
7,1967,1,0.4971
7,1093,1,0.5386
7,31,1,0.5135
7,614,1,0.5226
7,1067,1,0.5475
7,1706,1,0.4996
7,2574,1,0.5215
7,1307,1,0.5236
7,3194,1,0.572
7,3046,1,0.5346
7,1240,1,0.1
7,1326,1,0.1
